"Country","Happiness_Rank","Happiness_Score","Adolescent fertility rate (births per 1,000 women ages 15-19)","Average precipitation in depth (mm per year)","Business extent of disclosure index (0=less to 10=more)","Cost of business start-up procedures (% of GNI per capita)","Cost to export (US$ per container)","DEC alternative conversion factor (LCU per US$)","Depth of credit information index (0=low to 8=high)","Diabetes prevalence (% of pop. ages 20 to 79)","Documents to export (number)","Documents to import (number)","Ease of doing business index (1=most business-friendly regulations)","Fixed telephone subscriptions","Fixed telephone subscriptions (per 100 people)","Immunization, measles (% of children ages 12-23 months)","Improved sanitation facilities (% of pop.)","Improved water source (% of pop.)","Improved water source, urban (% of urban pop.)","Incidence of tuberculosis (per 100,000 people)","Internet users (per 100 people)","Labor force particip. rate for ages 15-24, female (%)","Labor force particip. rate for ages 15-24, male (%)","Labor force particip. rate, male (% of male pop. ages 15-64)","Labor force particip. rate, male (% of male pop. ages 15+)","Labor force particip. rate, total (% of ttl. pop. ages 15-64)","Labor force particip. rate, total (% of ttl. pop. ages 15+)","Lifetime risk of maternal death (%)","Lifetime risk of maternal death (1 in: rate varies by country)","Merchandies imports by economy, residual (%of ttl.)","Merchandise exports by economy (current US$)","Merchandise exports by economy, residual (% of ttl.)","Merchandise imports by economy (current US$)","Merchandise imports from high-income economies (%of ttl.)","Mobile cellular subscriptions (per 100 people)","Mortality rate, infant (per 1,000 live births)","Number of infant deaths","Number of maternal deaths","Official entrance age to lower secondary education (years)","Official entrance age to primary education (years)","Population ages 65 and above (% of ttl.)","Population density (people per sq. km of land area)","Population growth (annual %)","Population, ages 0-14 (% of ttl.)","Population, ages 15-64 (% of ttl.)","Population, female (% of ttl.)","Private credit bureau coverage (% of adults)","Procedures to build a warehouse (number)","Procedures to register property (number)","Public credit registry coverage (% of adults)","Pump price for gasoline (US$ per liter)","Ratio of female to male labor force particip. rate (%)","Refugee pop. by country or territory of asylum","Refugee pop. by country or territory of origin","Rural pop.","Rural pop. growth (annual %)","Secure Internet servers","Secure Internet servers (per 1 million people)","Start-up procedures to register a business (number)","Strength of legal rights index (0=weak to 12=strong)","Surface area (sq. km)","Tax payments (number)","Theoretical duration of primary education (years)","Theoretical duration of secondary education (years)","Time required to build a warehouse (days)","Time required to enforce a contract (days)","Time required to get electricity (days)","Time required to register property (days)","Time required to start a business (days)","Time to export (days)","Time to prepare and pay taxes (hours)","Total tax rate (% of commercial profits)","Unemp., female (% of female labor force)","Unemp., male (% of male labor force)","Urban pop.","Urban pop. growth (annual %)"
"Slovakia",45,5.995,20.4052,824,3,1.5,1525,0.753730736717402,6,7.21,5,5,29,918662,16.8433454574257,97,98.8,100,100,6.7,79.98,24.6000003814697,37.7999992370605,77.6999969482422,68.5,70.1999969482422,59.5,0.00818919795344459,12200,0.0105926030093698,81915874900,0.0186888072900263,80728032500,89.9073996384094,116.940134070288,6.1,335,3,10,6,13.4559598706292,112.678963566794,0.0944063525656957,15.0639487163695,71.4800914130013,51.528187796073,65.7,10,3,2.8,1.77,74.7445266612255,799,319,2505680,0.50179967814753,1741,321.306278889421,7,7,49036,21,4,9,286,705,121,16.5,11.5,16,207,51.3,14,12.8000001907349,2912826,-0.254719727593182
"Slovenia",55,5.848,3.9208,1162,5,0,745,0.753730736717402,4,7.17,5,7,35,769682,37.0825287436066,94,99.1,99.5,99.7,7.7,71.59,30.7999992370605,37.2000007629395,74.1999969482422,63,70.9000015258789,57.5,0.0141411429923129,7100,1.77801876787595,36024176600,0.412863565631088,34021868100,79.0615483574813,112.083010533862,2.2,49,2,12,6,17.6083749421607,102.39414101291,0.109893559871506,14.5925013116703,67.7991237461691,50.4234613768763,100,12,5,3.2,1.78,82.8571440681579,257,26,1037399,0.247172625896959,1337,648.331068781283,2,3,20270,10,6,7,224.5,1270,38,64.5,6,16,245,31,10,9,1024819,-0.0288789787434357
"South Africa",113,4.642,46.5808,495,8,0.3,1830,10.8444,7,9.36,5,6,69,4302606,8.09680883879887,70,65.8,92.8,99.5,834,49,24.1000003814697,28.7999992370605,64.3000030517578,61,56.5999984741211,52.5,0.341525550747502,290,0.622900911059855,91026345184,6.0123774725726,1.09364e+11,57.1669790156958,149.681805604295,34.4,36088,1600,14,7,5.02803328737243,44.5160317865946,1.57611957984501,29.5261410363057,65.4458256763218,50.8537336970924,55.4,19,7,0,1.19,73.2786897753107,112192,424,19279777,0.1577350805447,6240,115.551376447441,6,5,1219090,7,7,5,141,600,226,23,46,16,200,28.9,27.6000003814697,23,34722176,2.37246367409991
"Spain",36,6.329,8.522,636,5,5.3,1310,0.753730736717402,7,7.85,4,4,34,19089024,40.5576444955363,96,99.9,100,100,12,76.19,34.7999992370605,38.5,80.099998474121,65.8000030517578,74.4000015258789,59,0.00682763766918679,14600,0.324603975449068,3.16875e+11,4.24758548323471,3.5518e+11,71.1407296863562,107.849270058927,3.6,1390,21,12,6,18.4415918160846,92.7702404989904,-0.463196350953176,14.8728647620751,66.6855434218403,50.8850875781425,15.3,13,5,50,1.63,79.7872303420775,5798,60,9580230,-1.55194903713355,14699,316.757376779139,7,5,505940,9,6,6,205,510,132,12.5,14,10,167,58.2,26,23.7000007629395,36824372,-0.177992534668797
"Sri Lanka",132,4.271,15.361,1712,6,20.7,560,130.5647,6,7.8,7,7,113,2678739,12.4907540063253,99,95.1,95.6,98.5,65,25.8,26.3999996185303,48.7000007629395,81.099998474121,76.1999969482422,59.5,54.9000015258789,0.0660515442570832,1500,0.00281351924608791,10911611610,2.92206062246675,20545420515,45.9839248452706,103.157848107611,8.6,2738,100,10,5,8.90503322883257,329.118162972413,0.758721600871981,24.7907087209069,66.3042580502606,51.752580909512,44.5,12,9,0,1.27,46.0629919683098,511,121996,16857935,0.734237613532364,236,11.4346625320994,9,3,65610,47,5,8,169,1318,104,51,11,16,167,55.4,7,3.40000009536743,3781065,0.867956830248021
"Sudan",118,4.55,76.022,250,0,25.1,2630,5.7369,0,17.91,7,7,158,415106,1.0781974025974,86,23.6,55.5,66,94,24.64,27.2999992370605,43.2999992370605,76.5,76,54.5999984741211,53.5999984741211,1.44250853329963,69,6.46067330344251,4350209667,5.76972190338338,9211300000,57.4371912759328,72.1989896103896,48.8,61939,4200,12,6,3.2910240980787,21.5746877104377,2.1452695617024,40.8548057378203,55.854170164101,49.8065375605771,1.3,15,6,0,0.82,41.3157889717504,244430,659395,26119531,1.90000299930884,1,0.0254127836568559,10,3,1879357.5,42,6,5,270,810,70,9,36,32,180,45.4,21.6000003814697,12,13230743,2.63123683197814
"Suriname",40,6.269,46.5188,2331,1,100.3,1050,3.3,0,10.83,8,6,154,84900,15.6087695913959,85,79.2,94.8,98.1,38,40.08,17,38.7999992370605,73.5,68.6999969482422,59.2000007629395,54.5,0.382272874274133,260,2.73419369168814,1283565018,0.0465227973078169,1821359048,73.3196862713172,170.57498736039,19.5,192,15,12,6,6.79816738752397,3.45030769230769,0.895407485462734,27.1295016423656,66.0723309701104,49.8861119781216,0,10,6,0,1.29,58.9519676842377,0,17,182547,1.05790789293187,30,55.7363891737638,13,2,163820,30,6,7,223,1715,113,106,84,22,199,27.9,8.89999961853027,3.59999990463257,355701,0.812114127856865
"Sweden",8,7.364,5.618,624,8,0.5,725,6.860785,5,4.51,3,3,9,3820882,39.671669161494,97,99.3,100,100,7.5,92.52,55.5,54.5999984741211,83.599998474121,67.9000015258789,81.3000030517578,64,0.00781508362747835,12800,0.0016267984160284,1.57907e+11,0.752239799375572,1.61114e+11,88.5701402733468,127.837746272269,2.4,267,5,13,7,19.6316243418311,23.7873889134384,0.924592435436623,17.0640920508362,63.3042836073327,50.0578826860741,100,7,1,0,1.82,88.6597929456531,142207,18,1388998,-0.123250327055556,15525,1602.24076337871,3,6,447420,6,6,6,116,321,52,14,16,9,122,49.1,7.69999980926514,8.19999980926514,8300557,1.10101368275846
"Switzerland",1,7.587,3.0578,1537,0,2,1660,0.916151047283613,6,5.63,3,4,26,4374700,53.6253465354302,93,99.9,100,100,6.3,87,66.9000015258789,68.5,88.5,74.6999969482422,83.4000015258789,68.099998474121,0.00807617040012794,12400,0.00646878567308671,2.38905e+11,0.030418359359997,2.02909e+11,85.0000690366164,140.53868791659,3.5,296,4,13,7,17.8373971838849,207.263614738334,1.23939711432935,14.7633474166288,67.3992553994863,50.5259345472011,26.3,13,4,0,1.74,82.7309260532905,62620,19,2142236,1.02170970817723,23100,2820.43395856209,6,6,41285,19,6,7,156,390,39,16,10,8,63,28.8,4.69999980926514,4.30000019073486,6047993,1.31661711415191
"Tajikistan",106,4.786,38.3492,691,8,23.3,9050,4.934758333333,6,6.44,11,12,138,440700,5.24084644605323,98,95,73.7,93.1,91,17.49,38.5999984741211,56.7999992370605,80,77.4000015258789,70.9000015258789,68.099998474121,0.131372851334164,760,52.4870062372553,629599509.8,42.3825444636469,5835246507,25.9788833511674,95.1260603735521,39.7,10521,83,11,7,3.05597745375995,59.2729351243212,2.24228046358466,34.9258544041351,62.018168142105,49.3855112924068,7,27,6,0,1.32,76.3565856705582,2026,713,6081514,2.14546425883845,12,1.44650812937569,4,1,142550,36,4,7,242,430,133,37,28,71,281,81.8,9.89999961853027,11.6000003814697,2214326,2.50866362660351
"Tanzania",146,3.781,119.3834,1071,2,25.6,1090,1653.1,0,9.15,7,11,140,151274,0.298033043773921,99,15,55.5,77.8,327,4.86,80.599998474121,80.1999969482422,91.099998474121,90.099998474121,90.5,89.099998474121,2.32908162926222,43,2.41727059275354,4019364052,8.45718621284853,15869429716,31.2925416264031,62.7743323400015,36.2,72398,8500,14,7,3.19314802699771,58.5037491533077,3.15436942789149,45.2403362616491,51.5665157113532,50.3130978265264,0.59,18,8,0,1.29,97.6692580358653,88492,857,35808913,2.13926280963011,78,1.50513421542303,9,5,947300,49,7,6,205,515,109,67,26,18,181,44.3,4.09999990463257,2,16013708,5.46227990215349
"Thailand",34,6.455,44.6358,1622,10,6.6,595,32.4798,6,7.36,5,5,46,5690000,8.46436840073063,99,93,97.8,97.6,171,34.89,40.4000015258789,56.0999984741211,85.9000015258789,80.5,78.3000030517578,72.099998474121,0.029483959999906,3400,1.20870783137212,2.25242e+11,0.486559395396547,2.28201e+11,61.3638122287273,144.438719549621,10.9,8228,150,12,6,10.0838778572695,132.564698858854,0.406217867061089,17.9694929179244,71.946629224806,50.6910206495502,52.7,17,3,0,1.29,79.7515490040276,75137,231,34422406,-1.98690683600561,1581,23.3440700798138,6,3,513120,22,6,6,118,440,37,3,27.5,14,264,26.7,0.899999976158142,0.899999976158142,33303573,2.9414412244141
"Togo",158,2.839,91.9554,1168,7,94.9,1015,494.415,0,4.72,6,7,152,63200,0.903729370804165,82,11.6,62.4,90.9,58,5.7,67.4000015258789,64.1999969482422,82.4000015258789,81.4000015258789,82.3000030517578,81,1.78621718382838,56,1.27329276992182,1179301484,0.628384661529945,6815222054,56.2176844711127,68.9651326337248,53.6,13234,960,12,6,2.7576599439816,130.817484831771,2.65531929954752,42.4270533226013,54.8152867334171,50.6201193142026,0,12,5,3,1.25,99.0171952865339,21778,9277,4306879,1.84905933671223,30,4.21634753834874,6,6,56790,50,6,7,165,588,74,295,10,24,270,50.3,7.30000019073486,6.5,2808284,3.90459597747875
"Tunisia",107,4.739,6.7968,207,4,4.2,805,1.6977,5,9.41,4,6,75,949395,8.54010637318914,98,91.6,97.7,100,33,46.16,20.6000003814697,42.2000007629395,75.8000030517578,71,51.2999992370605,47.7000007629395,0.143176401576153,700,0.326504807172027,15361503948,0.00307148643738336,25628956982,72.8230924764756,128.485767478863,12.6,2641,130,12,6,7.4869134784658,70.7814109165808,1.00626446006026,23.297943586405,69.2151429351292,50.5609985270644,0,17,4,30.2,0.91,35.4929588210415,901,1486,3667916,0.441221948843703,197,17.9146281577942,10,2,163610,8,6,7,93,565,65,39,11,16,144,62.4,15.8000001907349,12.3999996185303,7328684,1.29026463860346
"Turkey",76,5.332,28.416,593,9,16.4,990,2.1885,7,14.84,7,8,51,12528865,16.5207770558495,94,94.5,100,100,18,51.04,26.2999992370605,52.5,75.6999969482422,70.8000030517578,53.5,49.4000015258789,0.0357960238029315,2800,6.19795434578841,1.57617e+11,2.62895557649238,2.42177e+11,62.5802222068983,94.7933027959168,12.3,17395,220,11,6,7.38828835350513,98.6608474201889,1.22186550135945,25.9449422156719,66.666769430823,50.8419660814304,0,19,7,63.6,2.06,41.3841779295418,1587374,63975,20584500,-0.681772754584271,4354,57.3405157970355,8,3,783560,11,5,7,104,420,70,7,7.5,13,226,40.3,10.6999998092651,8.60000038146973,55347848,1.93919881533637
"Uganda",141,3.931,114.8464,1180,3,64.4,2800,2538.0295393182,0,5.19,7,10,135,324442,0.835230120904247,82,19,78.9,95.5,161,17.71,58.5999984741211,59.2999992370605,79.5,79.1999969482422,78,77.4000015258789,2.2400595236332,45,0.088874803888006,1933264850,3.59625379643819,4736293608,44.6789021892477,52.4292396291441,39.1,60673,5800,13,6,2.49860975728986,188.424950129663,3.25376537015281,48.3258370550056,49.1755531877046,50.0266429551027,4.9,18,10,0,1.4,95.5808079105265,385513,7190,31826108,2.86394897955162,61,1.61448394304408,15,6,241550,31,7,6,159,490,132,42,35,28,209,36.5,4.59999990463257,3.09999990463257,5956863,5.36260721756721
"Ukraine",111,4.681,24.885,565,4,1.2,1880,11.8867,7,2.58,8,9,87,10461083,24.6403429995212,79,95.9,96.3,95.8,94,43.4,36.0999984741211,46.5,73.5,67.099998474121,67.9000015258789,59.5999984741211,0.0374664562965204,2700,0.0756864878567975,53911031359,0.311463321637916,54381743909,70.2999149677379,144.082158980983,8.1,3700,120,10,6,15.2776144843696,78.3037008906994,-0.278913804543261,14.5981877405603,70.1241977750701,53.7111485169367,48,10,7,0,1.17,79.7317454792994,3219,237636,13843850,-0.958161794013169,2063,45.4776921228581,6,8,603550,5,4,7,67,378,263,27,21,29,350,52.7,6.5,8.89999961853027,31519050,0.0208911365036623
"United Arab Emirates",20,6.901,29.2538,78,10,6.3,665,3.6725,7,19.02,3,5,32,2103036,22.2646592750251,94,97.5,99.6,99.6,1.6,90.4,33.7000007629395,63.4000015258789,93.3000030517578,92.9000015258789,80.8000030517578,80.5,0.0127094368304477,7900,1.08441952328622,2.58875e+11,13.81354354507,2.68515e+11,54.3775941143452,178.061544689901,6.1,603,6,11,6,1.03930833547671,108.685873205742,0.509332470845006,13.8337747199333,85.12691694459,26.3237443318884,28.3,9,2,6.8,0.47,49.946179508892,417,90,1338752,-1.4064566417632,2675,294.404476973113,6,2,83600,4,5,7,43.5,524,35,2,8,7,12,14.8,8.60000038146973,2.70000004768372,7747387,0.844132983956454
"United Kingdom",21,6.867,15.3342,1220,10,0.3,1005,0.607729626878255,8,3.9,4,4,6,33238083,52.3523137796874,93,99.2,100,100,12,91.61,56.5,61.2999992370605,82.1999969482422,68.599998474121,76.4000015258789,62.0999984741211,0.0174444551171539,5700,2.8877431863709,4.61906e+11,3.41471888219681,6.52956e+11,75.7808295045914,123.581084629246,3.7,2880,75,11,5,17.4985778317594,266.648931509114,0.627596411582549,17.7023633952144,64.7990587730262,50.7387502590494,100,9,6,0,1.92,81.3411085688445,117161,141,11389307,-0.795253804512084,83298,1291.2341419309,6,7,243610,8,6,7,105,437,79,21.5,6,8,110,33.5,5.80000019073486,6.69999980926514,53121069,0.935313098580554
"United States",15,7.119,24.1102,715,7.4,1.2,1224,1,8,9.39,3,5,7,129417800,40.1192243834444,91,100,99.2,99.4,3.1,87.36,49.5999984741211,52.2999992370605,77.4000015258789,68.8000030517578,71.8000030517578,62.4000015258789,0.0263129283690434,3800,0.0228354061717814,1.62342e+12,0.355879663734585,2.34519e+12,52.9986115874194,98.4068577995705,5.7,21613,560,12,6,14.3897106161988,34.8575943818038,0.742746143848123,19.0573787208619,66.5529106629393,50.4482711295613,100,15.8,4.4,0,0.76,81.8313906101231,267222,4986,59157550,-0.169374994082028,493656,1548.20472280845,6,11,9831510,10.6,6,6,80.6,420,89.6,15.2,5.6,6,175,43.8,6,6.40000009536743,259699506,0.951688920701319
"Uruguay",32,6.485,56.5144,1300,3,23.1,1125,23.2461,8,5.76,6,7,88,1082903,31.6759265380288,96,96.3,99.6,100,30,61.46,46.7999992370605,64.4000015258789,85.8000030517578,76.8000030517578,76.599998474121,65.8000030517578,0.0311884875981128,3200,0.237442606018755,10529215606,2.74453598183495,15851425285,49.4377978986035,160.79514574864,9.1,441,7,12,6,14.3329055924874,19.5378585304537,0.338250791014438,21.6135850804617,64.053509327051,51.7461535492157,100,21,8,84.6,1.8,72.6562461194894,272,124,165778,-3.08853493459769,326,95.3351292990002,5,4,176220,31,6,6,251,725,48,66,6.5,15,312,41.8,9.10000038146973,5.30000019073486,3253738,0.516029467952552
"Vietnam",75,5.36,38.1194,1821,7,5.3,610,21148,6,5.71,5,8,93,5562200,6.01007311247134,97,76.3,96.4,98.7,140,48.31,61.0999984741211,66,85.8000030517578,82.5,82.5,77.6999969482422,0.115190481595912,870,0.000279853820605505,1.43039e+11,-0.000303796580655218,1.44558e+11,54.0700639997468,147.1108876642,17.8,28092,860,11,6,6.62109498793475,292.611345825136,1.13180794177695,23.1071517888696,70.2717532231957,50.5482262499543,1.4,10,5,41.8,1.04,88.7272690281724,0,313418,60833558,0.17885562977197,1076,11.8593629450017,10,7,330972,32,5,7,166,400,115,57.5,34,21,872,40.8,2.5,2,29896442,3.0993832481201
"Zambia",85,5.129,93.0156,1020,4,31.9,5165,6.1528,7,5.04,7,8,91,114420,0.761733471575332,85,43.7,64.6,85.7,406,17.34,63.9000015258789,69.599998474121,85.9000015258789,85.599998474121,79.599998474121,79.3000030517578,1.31716217650297,76,0.0149482863179667,8249997890,12.3029989848871,8975259132,17.2200170290963,67.3381642582832,44.7,26925,1500,14,7,2.91896182151869,21.148176596403,3.06964015478856,46.0924108073973,50.988627371084,50.0775538069489,7.3,10,5,0,1.68,85.2803753519571,25578,316,9358601,2.32487413253289,54,3.43482105822639,6,7,752610,37,7,5,208,611,117,45,7.5,51,177,15.5,11.5,14.8000001907349,6362742,4.1752536036073
"Zimbabwe",115,4.61,110.4018,657,8,114.6,4265,1,4,9.34,7,8,153,329475,2.25678241973516,92,37,77.1,97.1,278,19.89,77,81.9000015258789,90.8000030517578,90,87.8000030517578,86.6999969482422,1.78696700976917,56,3.87779765454897,2729942777,0.019286224163884,4980520545,13.6297433053976,80.8164213071495,47.6,25775,2200,13,6,3.00116982615931,39.4102494506915,2.30745117689618,41.583794414941,55.4150357588997,50.7123018026867,29.7,10,5,0,1.56,92.8888871934679,6079,22494,10290800,2.53438211017796,69,4.52582029672983,9,5,390760,49,7,6,448,410,106,36,90,53,242,32.5,5.40000009536743,5.30000019073486,4955055,1.83779349660373
